team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Chargers,LAC,7,,HB,553387057,Najee Harris,4,0,1308,22,1,9.80,3,1,0,16,1,0,9,38,9.00,12.67,40.00
Chargers,LAC,7,,QB,553387119,Justin Herbert,5,0,346,10,1,3.30,6,1,0,17,0,0,10,33,10.00,5.50,51.50
Chargers,LAC,7,,WR,553387019,KJ Hamler,5,0,739,19,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,WR,553387341,Diontae Johnson,6,0,9529,85,1,0.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,HB,553388431,Brashard Smith,0,0,10735,24,1,1.60,1,1,0,2,0,0,0,2,0.00,2.00,0.67
Chiefs,KC,8,,HB,553388027,Isiah Pacheco,3,0,1875,10,1,3.70,14,3,0,14,1,0,31,70,31.00,5.00,69.67
Chiefs,KC,8,,WR,553388661,Kadarius Toney,4,0,1261,85,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Chiefs,KC,8,,QB,553387644,Patrick Mahomes,8,0,8648,15,1,3.50,4,1,0,14,0,0,9,35,9.00,8.75,14.67
Chiefs,KC,8,,TE,553387450,Travis Kelce,12,0,5920,87,1,1.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,HB,553386905,DJ Giddens,0,0,10560,21,1,0.10,1,0,0,1,0,0,1,1,1.00,1.00,5.00
Colts,IND,9,,TE,553388797,Tyler Warren,0,0,10769,84,1,4.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,WR,553386669,Josh Downs,2,0,2117,1,1,11.30,1,0,0,3,0,0,1,3,1.00,3.00,2.50
Colts,IND,9,,WR,553388099,Alec Pierce,3,0,1890,14,1,9.30,1,1,0,0,0,0,0,-2,0.00,-2.00,-1.00
Colts,IND,9,,HB,553386941,Tyler Goodson,3,0,1736,31,1,-0.10,1,0,0,0,0,0,1,-1,1.00,-1.00,-1.00
Colts,IND,9,,HB,553388580,Jonathan Taylor,5,0,604,28,1,5.20,24,12,0,23,0,1,64,88,64.00,3.67,111.50
Colts,IND,9,,WR,553388110,Michael Pittman Jr,5,0,532,11,1,4.60,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Colts,IND,9,,QB,553387388,Daniel Jones,6,0,9537,17,1,11.90,6,0,0,33,1,1,3,59,3.00,9.83,36.50
Colts,IND,9,,TE,553386025,Mo Alie-Cox,7,0,9697,81,1,0.60,1,0,0,25,0,1,3,25,3.00,25.00,12.50
Commanders,WAS,25,,HB,553386537,Jacory Croskey-Merritt,0,0,11008,22,1,15.60,11,2,0,15,0,0,21,42,21.00,3.82,66.33
Commanders,WAS,25,,WR,553387531,Jaylin Lane,0,0,10633,83,1,2.70,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,,QB,553386563,Jayden Daniels,1,0,10048,5,1,3.70,9,0,1,13,0,0,11,57,11.00,6.33,44.00
